TACC: Starting up job 1702510
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1702510.2vWt60YW 

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
  Bidirectional           8                    64          138.547         3.695
  Bidirectional           8                   128          189.206         5.412
  Bidirectional           8                   256          284.435         7.200
  Bidirectional           8                   512          389.566        10.514
  Bidirectional           8                  1024          531.884        15.402
  Bidirectional           8                  2048          998.830        16.403
  Bidirectional           8                  4096         2559.385        12.803
  Bidirectional           8                  8192         4145.971        15.807
  Bidirectional           8                 16384         5162.026        25.392
  Bidirectional           8                 32768         6152.835        42.605
  Bidirectional           8                 65536         7384.229        71.001
  Bidirectional           8                131072         8729.747       120.115
  Bidirectional           8                262144         9316.908       225.091
  Bidirectional           8                524288         9279.558       451.994
  Bidirectional           8               1048576         9288.622       903.106
  Bidirectional           8               2097152         8545.911      1963.186
  Bidirectional           8               4194304         8469.743      3961.682
  Bidirectional           8               8388608         8483.835      7910.204

  Bidirectional          16                    32           96.300         5.317
  Bidirectional          16                    64          232.160         4.411
  Bidirectional          16                   128          365.529         5.603
  Bidirectional          16                   256          475.897         8.607
  Bidirectional          16                   512          810.371        10.109
  Bidirectional          16                  1024         1106.594        14.806
  Bidirectional          16                  2048         2181.571        15.020
  Bidirectional          16                  4096         4024.567        16.284
  Bidirectional          16                  8192         5220.853        25.105
  Bidirectional          16                 16384         6536.930        40.102
  Bidirectional          16                 32768         7664.773        68.402
  Bidirectional          16                 65536         8041.775       130.391
  Bidirectional          16                131072         9008.698       232.792
  Bidirectional          16                262144         9035.535       464.201
  Bidirectional          16                524288         9082.651       923.586
  Bidirectional          16               1048576         9117.012      1840.210
  Bidirectional          16               2097152         9142.122      3670.311
  Bidirectional          16               4194304         9065.479      7402.682
  Bidirectional          16               8388608         9124.563     14709.496

  Bidirectional          20                    32           50.458        12.684
