TACC: Starting up job 1976186
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1976186.wpt9l1aA 
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
  Unidirectional         64                 32768        24352.417        21.529
  Unidirectional         64                 65536        24299.942        43.151
  Unidirectional         64                131072        24654.800        85.061
  Unidirectional         64                262144        24781.566       169.251
  Unidirectional         64                524288        24813.899       338.061
  Unidirectional         64               1048576        24848.861       675.170
  Unidirectional         64               2097152        24901.269      1347.499
  Unidirectional         64               4194304        24890.149      2696.202
  Unidirectional         64               8388608        24882.085      5394.151

  Bidirectional           2                    32           15.463         4.139
  Bidirectional           2                    64           31.507         4.063
  Bidirectional           2                   128           60.390         4.239
  Bidirectional           2                   256          116.838         4.382
  Bidirectional           2                   512          217.798         4.702
  Bidirectional           2                  1024          373.800         5.479
  Bidirectional           2                  2048          675.841         6.061
  Bidirectional           2                  4096         1077.784         7.601
  Bidirectional           2                  8192         1117.753        14.658
  Bidirectional           2                 16384         1912.061        17.138
  Bidirectional           2                 32768         2987.154        21.939
  Bidirectional           2                 65536         4348.646        30.141
  Bidirectional           2                131072         6150.770        42.620
  Bidirectional           2                262144         7470.523        70.181
  Bidirectional           2                524288         8024.168       130.677
  Bidirectional           2               1048576         8675.846       241.723
  Bidirectional           2               2097152         8919.539       470.238
  Bidirectional           2               4194304        10332.845       811.839
  Bidirectional           2               8388608         8207.148      2044.220

  Bidirectional           4                    32           29.893         4.282
  Bidirectional           4                    64           59.785         4.282
  Bidirectional           4                   128          102.359         5.002
  Bidirectional           4                   256          221.619         4.621
  Bidirectional           4                   512          382.115         5.360
  Bidirectional           4                  1024          705.829         5.803
  Bidirectional           4                  2048          804.678        10.180
  Bidirectional           4                  4096         2068.618         7.920
  Bidirectional           4                  8192         2068.618        15.841
  Bidirectional           4                 16384         3153.716        20.781
  Bidirectional           4                 32768         4987.805        26.278
  Bidirectional           4                 65536         6877.106        38.118
  Bidirectional           4                131072         8527.312        61.483
  Bidirectional           4                262144         9575.959       109.501
  Bidirectional           4                524288         9690.315       216.417
  Bidirectional           4               1048576        10069.825       416.522
