TACC: Starting up job 1779644
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779644.lMFvU0Dt 


Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
Rank id   79 (c449-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  239 (c461-804-mic0.stampede.tacc.utexas.edu)
Rank id   80 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  240 (c461-901.stampede.tacc.utexas.edu)
Rank id   81 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  241 (c461-901.stampede.tacc.utexas.edu)
Rank id   82 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  242 (c461-901.stampede.tacc.utexas.edu)
Rank id   83 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  243 (c461-901.stampede.tacc.utexas.edu)
Rank id   84 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  244 (c461-901.stampede.tacc.utexas.edu)
Rank id   85 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  245 (c461-901.stampede.tacc.utexas.edu)
Rank id   86 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  246 (c461-901.stampede.tacc.utexas.edu)
Rank id   87 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  247 (c461-901.stampede.tacc.utexas.edu)
Rank id   88 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  248 (c461-901.stampede.tacc.utexas.edu)
Rank id   89 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  249 (c461-901.stampede.tacc.utexas.edu)
Rank id   90 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  250 (c461-901.stampede.tacc.utexas.edu)
Rank id   91 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  251 (c461-901.stampede.tacc.utexas.edu)
Rank id   92 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  252 (c461-901.stampede.tacc.utexas.edu)
Rank id   93 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  253 (c461-901.stampede.tacc.utexas.edu)
Rank id   94 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  254 (c461-901.stampede.tacc.utexas.edu)
Rank id   95 (c449-903.stampede.tacc.utexas.edu) communicated with rank id  255 (c461-901.stampede.tacc.utexas.edu)
Rank id   96 (c449-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  256 (c461-901-mic0.stampede.tacc.utexas.edu)
Rank id   97 (c449-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  257 (c461-901-mic0.stampede.tacc.utexas.edu)
Rank id   98 (c449-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  258 (c461-901-mic0.stampede.tacc.utexas.edu)
Rank id   99 (c449-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  259 (c461-901-mic0.stampede.tacc.utexas.edu)
Rank id  100 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  260 (c461-902.stampede.tacc.utexas.edu)
Rank id  101 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  261 (c461-902.stampede.tacc.utexas.edu)
Rank id  102 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  262 (c461-902.stampede.tacc.utexas.edu)
Rank id  103 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  263 (c461-902.stampede.tacc.utexas.edu)
Rank id  104 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  264 (c461-902.stampede.tacc.utexas.edu)
Rank id  105 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  265 (c461-902.stampede.tacc.utexas.edu)
Rank id  106 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  266 (c461-902.stampede.tacc.utexas.edu)
Rank id  107 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  267 (c461-902.stampede.tacc.utexas.edu)
Rank id  108 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  268 (c461-902.stampede.tacc.utexas.edu)
Rank id  109 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  269 (c461-902.stampede.tacc.utexas.edu)
Rank id  110 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  270 (c461-902.stampede.tacc.utexas.edu)
Rank id  111 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  271 (c461-902.stampede.tacc.utexas.edu)
Rank id  112 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  272 (c461-902.stampede.tacc.utexas.edu)
Rank id  113 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  273 (c461-902.stampede.tacc.utexas.edu)
Rank id  114 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  274 (c461-902.stampede.tacc.utexas.edu)
Rank id  115 (c449-904.stampede.tacc.utexas.edu) communicated with rank id  275 (c461-902.stampede.tacc.utexas.edu)
Rank id  116 (c449-904-mic0.stampede.tacc.utexas.edu) communicated with rank id  276 (c461-902-mic0.stampede.tacc.utexas.edu)
Rank id  117 (c449-904-mic0.stampede.tacc.utexas.edu) communicated with rank id  277 (c461-902-mic0.stampede.tacc.utexas.edu)
Rank id  118 (c449-904-mic0.stampede.tacc.utexas.edu) communicated with rank id  278 (c461-902-mic0.stampede.tacc.utexas.edu)
Rank id  119 (c449-904-mic0.stampede.tacc.utexas.edu) communicated with rank id  279 (c461-902-mic0.stampede.tacc.utexas.edu)
Rank id  120 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  280 (c461-903.stampede.tacc.utexas.edu)
Rank id  121 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  281 (c461-903.stampede.tacc.utexas.edu)
Rank id  122 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  282 (c461-903.stampede.tacc.utexas.edu)
Rank id  123 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  283 (c461-903.stampede.tacc.utexas.edu)
Rank id  124 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  284 (c461-903.stampede.tacc.utexas.edu)
Rank id  125 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  285 (c461-903.stampede.tacc.utexas.edu)
Rank id  126 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  286 (c461-903.stampede.tacc.utexas.edu)
Rank id  127 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  287 (c461-903.stampede.tacc.utexas.edu)
Rank id  128 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  288 (c461-903.stampede.tacc.utexas.edu)
Rank id  129 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  289 (c461-903.stampede.tacc.utexas.edu)
Rank id  130 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  290 (c461-903.stampede.tacc.utexas.edu)
Rank id  131 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  291 (c461-903.stampede.tacc.utexas.edu)
Rank id  132 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  292 (c461-903.stampede.tacc.utexas.edu)
Rank id  133 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  293 (c461-903.stampede.tacc.utexas.edu)
Rank id  134 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  294 (c461-903.stampede.tacc.utexas.edu)
Rank id  135 (c459-401.stampede.tacc.utexas.edu) communicated with rank id  295 (c461-903.stampede.tacc.utexas.edu)
Rank id  136 (c459-401-mic0.stampede.tacc.utexas.edu) communicated with rank id  296 (c461-903-mic0.stampede.tacc.utexas.edu)
Rank id  137 (c459-401-mic0.stampede.tacc.utexas.edu) communicated with rank id  297 (c461-903-mic0.stampede.tacc.utexas.edu)
Rank id  138 (c459-401-mic0.stampede.tacc.utexas.edu) communicated with rank id  298 (c461-903-mic0.stampede.tacc.utexas.edu)
Rank id  139 (c459-401-mic0.stampede.tacc.utexas.edu) communicated with rank id  299 (c461-903-mic0.stampede.tacc.utexas.edu)
Rank id  140 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  300 (c461-904.stampede.tacc.utexas.edu)
Rank id  141 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  301 (c461-904.stampede.tacc.utexas.edu)
Rank id  142 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  302 (c461-904.stampede.tacc.utexas.edu)
Rank id  143 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  303 (c461-904.stampede.tacc.utexas.edu)
Rank id  144 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  304 (c461-904.stampede.tacc.utexas.edu)
Rank id  145 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  305 (c461-904.stampede.tacc.utexas.edu)
Rank id  146 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  306 (c461-904.stampede.tacc.utexas.edu)
Rank id  147 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  307 (c461-904.stampede.tacc.utexas.edu)
Rank id  148 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  308 (c461-904.stampede.tacc.utexas.edu)
Rank id  149 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  309 (c461-904.stampede.tacc.utexas.edu)
Rank id  150 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  310 (c461-904.stampede.tacc.utexas.edu)
Rank id  151 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  311 (c461-904.stampede.tacc.utexas.edu)
Rank id  152 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  312 (c461-904.stampede.tacc.utexas.edu)
Rank id  153 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  313 (c461-904.stampede.tacc.utexas.edu)
Rank id  154 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  314 (c461-904.stampede.tacc.utexas.edu)
Rank id  155 (c459-402.stampede.tacc.utexas.edu) communicated with rank id  315 (c461-904.stampede.tacc.utexas.edu)
Rank id  156 (c459-402-mic0.stampede.tacc.utexas.edu) communicated with rank id  316 (c461-904-mic0.stampede.tacc.utexas.edu)
Rank id  157 (c459-402-mic0.stampede.tacc.utexas.edu) communicated with rank id  317 (c461-904-mic0.stampede.tacc.utexas.edu)
Rank id  158 (c459-402-mic0.stampede.tacc.utexas.edu) communicated with rank id  318 (c461-904-mic0.stampede.tacc.utexas.edu)
Rank id  159 (c459-402-mic0.stampede.tacc.utexas.edu) communicated with rank id  319 (c461-904-mic0.stampede.tacc.utexas.edu)
Rank id  160 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    0 (c429-703.stampede.tacc.utexas.edu)
Rank id  161 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    1 (c429-703.stampede.tacc.utexas.edu)
Rank id  162 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    2 (c429-703.stampede.tacc.utexas.edu)
Rank id  163 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    3 (c429-703.stampede.tacc.utexas.edu)
Rank id  164 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    4 (c429-703.stampede.tacc.utexas.edu)
Rank id  165 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    5 (c429-703.stampede.tacc.utexas.edu)
Rank id  166 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    6 (c429-703.stampede.tacc.utexas.edu)
Rank id  167 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    7 (c429-703.stampede.tacc.utexas.edu)
Rank id  168 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    8 (c429-703.stampede.tacc.utexas.edu)
Rank id  169 (c461-801.stampede.tacc.utexas.edu) communicated with rank id    9 (c429-703.stampede.tacc.utexas.edu)
Rank id  170 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   10 (c429-703.stampede.tacc.utexas.edu)
Rank id  171 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   11 (c429-703.stampede.tacc.utexas.edu)
Rank id  172 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   12 (c429-703.stampede.tacc.utexas.edu)
Rank id  173 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   13 (c429-703.stampede.tacc.utexas.edu)
Rank id  174 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   14 (c429-703.stampede.tacc.utexas.edu)
Rank id  175 (c461-801.stampede.tacc.utexas.edu) communicated with rank id   15 (c429-703.stampede.tacc.utexas.edu)
Rank id  176 (c461-801-mic0.stampede.tacc.utexas.edu) communicated with rank id   16 (c429-703-mic0.stampede.tacc.utexas.edu)
Rank id  177 (c461-801-mic0.stampede.tacc.utexas.edu) communicated with rank id   17 (c429-703-mic0.stampede.tacc.utexas.edu)
Rank id  178 (c461-801-mic0.stampede.tacc.utexas.edu) communicated with rank id   18 (c429-703-mic0.stampede.tacc.utexas.edu)
Rank id  179 (c461-801-mic0.stampede.tacc.utexas.edu) communicated with rank id   19 (c429-703-mic0.stampede.tacc.utexas.edu)
Rank id  180 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   20 (c449-804.stampede.tacc.utexas.edu)
Rank id  181 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   21 (c449-804.stampede.tacc.utexas.edu)
Rank id  182 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   22 (c449-804.stampede.tacc.utexas.edu)
Rank id  183 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   23 (c449-804.stampede.tacc.utexas.edu)
Rank id  184 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   24 (c449-804.stampede.tacc.utexas.edu)
Rank id  185 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   25 (c449-804.stampede.tacc.utexas.edu)
Rank id  186 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   26 (c449-804.stampede.tacc.utexas.edu)
Rank id  187 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   27 (c449-804.stampede.tacc.utexas.edu)
Rank id  188 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   28 (c449-804.stampede.tacc.utexas.edu)
Rank id  189 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   29 (c449-804.stampede.tacc.utexas.edu)
Rank id  190 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   30 (c449-804.stampede.tacc.utexas.edu)
Rank id  191 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   31 (c449-804.stampede.tacc.utexas.edu)
Rank id  192 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   32 (c449-804.stampede.tacc.utexas.edu)
Rank id  193 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   33 (c449-804.stampede.tacc.utexas.edu)
Rank id  194 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   34 (c449-804.stampede.tacc.utexas.edu)
Rank id  195 (c461-802.stampede.tacc.utexas.edu) communicated with rank id   35 (c449-804.stampede.tacc.utexas.edu)
Rank id  196 (c461-802-mic0.stampede.tacc.utexas.edu) communicated with rank id   36 (c449-804-mic0.stampede.tacc.utexas.edu)
Rank id  197 (c461-802-mic0.stampede.tacc.utexas.edu) communicated with rank id   37 (c449-804-mic0.stampede.tacc.utexas.edu)
Rank id  198 (c461-802-mic0.stampede.tacc.utexas.edu) communicated with rank id   38 (c449-804-mic0.stampede.tacc.utexas.edu)
Rank id  199 (c461-802-mic0.stampede.tacc.utexas.edu) communicated with rank id   39 (c449-804-mic0.stampede.tacc.utexas.edu)
Rank id  200 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   40 (c449-901.stampede.tacc.utexas.edu)
Rank id  201 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   41 (c449-901.stampede.tacc.utexas.edu)
Rank id  202 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   42 (c449-901.stampede.tacc.utexas.edu)
Rank id  203 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   43 (c449-901.stampede.tacc.utexas.edu)
Rank id  204 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   44 (c449-901.stampede.tacc.utexas.edu)
Rank id  205 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   45 (c449-901.stampede.tacc.utexas.edu)
Rank id  206 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   46 (c449-901.stampede.tacc.utexas.edu)
Rank id  207 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   47 (c449-901.stampede.tacc.utexas.edu)
Rank id  208 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   48 (c449-901.stampede.tacc.utexas.edu)
Rank id  209 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   49 (c449-901.stampede.tacc.utexas.edu)
Rank id  210 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   50 (c449-901.stampede.tacc.utexas.edu)
Rank id  211 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   51 (c449-901.stampede.tacc.utexas.edu)
Rank id  212 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   52 (c449-901.stampede.tacc.utexas.edu)
Rank id  213 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   53 (c449-901.stampede.tacc.utexas.edu)
Rank id  214 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   54 (c449-901.stampede.tacc.utexas.edu)
Rank id  215 (c461-803.stampede.tacc.utexas.edu) communicated with rank id   55 (c449-901.stampede.tacc.utexas.edu)
Rank id  216 (c461-803-mic0.stampede.tacc.utexas.edu) communicated with rank id   56 (c449-901-mic0.stampede.tacc.utexas.edu)
Rank id  217 (c461-803-mic0.stampede.tacc.utexas.edu) communicated with rank id   57 (c449-901-mic0.stampede.tacc.utexas.edu)
Rank id  218 (c461-803-mic0.stampede.tacc.utexas.edu) communicated with rank id   58 (c449-901-mic0.stampede.tacc.utexas.edu)
Rank id  219 (c461-803-mic0.stampede.tacc.utexas.edu) communicated with rank id   59 (c449-901-mic0.stampede.tacc.utexas.edu)
Rank id  220 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   60 (c449-902.stampede.tacc.utexas.edu)
Rank id  221 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   61 (c449-902.stampede.tacc.utexas.edu)
Rank id  222 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   62 (c449-902.stampede.tacc.utexas.edu)
Rank id  223 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   63 (c449-902.stampede.tacc.utexas.edu)
Rank id  224 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   64 (c449-902.stampede.tacc.utexas.edu)
Rank id  225 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   65 (c449-902.stampede.tacc.utexas.edu)
Rank id  226 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   66 (c449-902.stampede.tacc.utexas.edu)
Rank id  227 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   67 (c449-902.stampede.tacc.utexas.edu)
Rank id  228 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   68 (c449-902.stampede.tacc.utexas.edu)
Rank id  229 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   69 (c449-902.stampede.tacc.utexas.edu)
Rank id  230 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   70 (c449-902.stampede.tacc.utexas.edu)
Rank id  231 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   71 (c449-902.stampede.tacc.utexas.edu)
Rank id  232 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   72 (c449-902.stampede.tacc.utexas.edu)
Rank id  233 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   73 (c449-902.stampede.tacc.utexas.edu)
Rank id  234 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   74 (c449-902.stampede.tacc.utexas.edu)
Rank id  235 (c461-804.stampede.tacc.utexas.edu) communicated with rank id   75 (c449-902.stampede.tacc.utexas.edu)
Rank id  236 (c461-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   76 (c449-902-mic0.stampede.tacc.utexas.edu)
Rank id  237 (c461-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   77 (c449-902-mic0.stampede.tacc.utexas.edu)
Rank id  238 (c461-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   78 (c449-902-mic0.stampede.tacc.utexas.edu)
Rank id  239 (c461-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   79 (c449-902-mic0.stampede.tacc.utexas.edu)
Rank id  240 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   80 (c449-903.stampede.tacc.utexas.edu)
Rank id  241 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   81 (c449-903.stampede.tacc.utexas.edu)
Rank id  242 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   82 (c449-903.stampede.tacc.utexas.edu)
Rank id  243 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   83 (c449-903.stampede.tacc.utexas.edu)
Rank id  244 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   84 (c449-903.stampede.tacc.utexas.edu)
Rank id  245 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   85 (c449-903.stampede.tacc.utexas.edu)
Rank id  246 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   86 (c449-903.stampede.tacc.utexas.edu)
Rank id  247 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   87 (c449-903.stampede.tacc.utexas.edu)
Rank id  248 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   88 (c449-903.stampede.tacc.utexas.edu)
Rank id  249 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   89 (c449-903.stampede.tacc.utexas.edu)
Rank id  250 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   90 (c449-903.stampede.tacc.utexas.edu)
Rank id  251 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   91 (c449-903.stampede.tacc.utexas.edu)
Rank id  252 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   92 (c449-903.stampede.tacc.utexas.edu)
Rank id  253 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   93 (c449-903.stampede.tacc.utexas.edu)
Rank id  254 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   94 (c449-903.stampede.tacc.utexas.edu)
Rank id  255 (c461-901.stampede.tacc.utexas.edu) communicated with rank id   95 (c449-903.stampede.tacc.utexas.edu)
Rank id  256 (c461-901-mic0.stampede.tacc.utexas.edu) communicated with rank id   96 (c449-903-mic0.stampede.tacc.utexas.edu)
Rank id  257 (c461-901-mic0.stampede.tacc.utexas.edu) communicated with rank id   97 (c449-903-mic0.stampede.tacc.utexas.edu)
Rank id  258 (c461-901-mic0.stampede.tacc.utexas.edu) communicated with rank id   98 (c449-903-mic0.stampede.tacc.utexas.edu)
Rank id  259 (c461-901-mic0.stampede.tacc.utexas.edu) communicated with rank id   99 (c449-903-mic0.stampede.tacc.utexas.edu)
Rank id  260 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  100 (c449-904.stampede.tacc.utexas.edu)
Rank id  261 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  101 (c449-904.stampede.tacc.utexas.edu)
Rank id  262 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  102 (c449-904.stampede.tacc.utexas.edu)
Rank id  263 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  103 (c449-904.stampede.tacc.utexas.edu)
Rank id  264 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  104 (c449-904.stampede.tacc.utexas.edu)
Rank id  265 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  105 (c449-904.stampede.tacc.utexas.edu)
Rank id  266 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  106 (c449-904.stampede.tacc.utexas.edu)
Rank id  267 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  107 (c449-904.stampede.tacc.utexas.edu)
Rank id  268 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  108 (c449-904.stampede.tacc.utexas.edu)
Rank id  269 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  109 (c449-904.stampede.tacc.utexas.edu)
Rank id  270 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  110 (c449-904.stampede.tacc.utexas.edu)
Rank id  271 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  111 (c449-904.stampede.tacc.utexas.edu)
Rank id  272 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  112 (c449-904.stampede.tacc.utexas.edu)
Rank id  273 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  113 (c449-904.stampede.tacc.utexas.edu)
Rank id  274 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  114 (c449-904.stampede.tacc.utexas.edu)
Rank id  275 (c461-902.stampede.tacc.utexas.edu) communicated with rank id  115 (c449-904.stampede.tacc.utexas.edu)
Rank id  276 (c461-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  116 (c449-904-mic0.stampede.tacc.utexas.edu)
Rank id  277 (c461-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  117 (c449-904-mic0.stampede.tacc.utexas.edu)
Rank id  278 (c461-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  118 (c449-904-mic0.stampede.tacc.utexas.edu)
Rank id  279 (c461-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  119 (c449-904-mic0.stampede.tacc.utexas.edu)
Rank id  280 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  120 (c459-401.stampede.tacc.utexas.edu)
Rank id  281 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  121 (c459-401.stampede.tacc.utexas.edu)
Rank id  282 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  122 (c459-401.stampede.tacc.utexas.edu)
Rank id  283 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  123 (c459-401.stampede.tacc.utexas.edu)
Rank id  284 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  124 (c459-401.stampede.tacc.utexas.edu)
Rank id  285 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  125 (c459-401.stampede.tacc.utexas.edu)
Rank id  286 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  126 (c459-401.stampede.tacc.utexas.edu)
Rank id  287 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  127 (c459-401.stampede.tacc.utexas.edu)
Rank id  288 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  128 (c459-401.stampede.tacc.utexas.edu)
Rank id  289 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  129 (c459-401.stampede.tacc.utexas.edu)
Rank id  290 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  130 (c459-401.stampede.tacc.utexas.edu)
Rank id  291 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  131 (c459-401.stampede.tacc.utexas.edu)
Rank id  292 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  132 (c459-401.stampede.tacc.utexas.edu)
Rank id  293 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  133 (c459-401.stampede.tacc.utexas.edu)
Rank id  294 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  134 (c459-401.stampede.tacc.utexas.edu)
Rank id  295 (c461-903.stampede.tacc.utexas.edu) communicated with rank id  135 (c459-401.stampede.tacc.utexas.edu)
Rank id  296 (c461-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  136 (c459-401-mic0.stampede.tacc.utexas.edu)
Rank id  297 (c461-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  137 (c459-401-mic0.stampede.tacc.utexas.edu)
Rank id  298 (c461-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  138 (c459-401-mic0.stampede.tacc.utexas.edu)
Rank id  299 (c461-903-mic0.stampede.tacc.utexas.edu) communicated with rank id  139 (c459-401-mic0.stampede.tacc.utexas.edu)
Rank id  300 (c461-904.stampede.tacc.utexas.edu) communicated with rank id  140 (c459-402.stampede.tacc.utexas.edu)
Rank id  301 (c461-904.stampede.tacc.utexas.edu) communicated with rank id  141 (c459-402.stampede.tacc.utexas.edu)
Rank id  302 (c461-904.stampede.tacc.utexas.edu) communicated with rank id  142 (c459-402.stampede.tacc.utexas.edu)
